deal_id,deal_name,amount,stage,owner,account,created_date,close_date,probability
D001,Enterprise Software Deal,125000,Negotiation,Sarah Johnson,TechCorp Inc,2024-01-15,2024-03-30,0.75
D002,Cloud Migration Project,85000,Proposal,Mike Chen,DataSystems LLC,2024-01-20,2024-04-15,0.60
D003,Security Audit Services,45000,Qualified,Emily Davis,SecureNet Co,2024-02-01,2024-05-01,0.40
D004,Data Analytics Platform,200000,Demo,John Smith,BigData Corp,2024-02-10,2024-05-20,0.35
D005,Mobile App Development,65000,Discovery,Lisa Wang,AppMakers Inc,2024-02-15,2024-06-01,0.25
D006,Infrastructure Upgrade,150000,Closed Won,Sarah Johnson,CloudFirst Ltd,2024-01-01,2024-02-28,1.00
D007,Consulting Services,35000,Closed Lost,Mike Chen,StartupXYZ,2024-01-10,2024-02-15,0.00
D008,API Integration,55000,Negotiation,Emily Davis,ConnectAll Inc,2024-02-20,2024-04-10,0.70
D009,Training Program,25000,Proposal,John Smith,LearnTech,2024-02-25,2024-04-20,0.55
D010,Database Migration,95000,Qualified,Lisa Wang,DataMove Co,2024-03-01,2024-05-15,0.45
D011,Cybersecurity Suite,180000,Demo,Sarah Johnson,SecureEnterprise,2024-03-05,2024-06-10,0.30
D012,Process Automation,75000,Discovery,Mike Chen,AutomateCorp,2024-03-10,2024-06-20,0.20
D013,Compliance Software,120000,Closed Won,Emily Davis,RegTech Inc,2024-01-05,2024-03-01,1.00
D014,Marketing Platform,60000,Closed Lost,John Smith,MarketPro,2024-01-15,2024-02-20,0.00
D015,Sales Enablement Tool,90000,Negotiation,Lisa Wang,SalesBoost LLC,2024-03-15,2024-05-01,0.80
D016,Customer Support System,40000,Proposal,Sarah Johnson,HelpDesk Pro,2024-03-20,2024-05-10,0.50
D017,Analytics Dashboard,70000,Qualified,Mike Chen,DataViz Corp,2024-03-25,2024-05-25,0.42
D018,Inventory Management,110000,Demo,Emily Davis,StockTrack Inc,2024-03-30,2024-06-15,0.32
D019,HR Management System,85000,Discovery,John Smith,PeopleFirst,2024-04-01,2024-06-30,0.22
D020,Financial Planning Tool,130000,Negotiation,Lisa Wang,FinancePro,2024-04-05,2024-05-20,0.72
